case	realization	status	observed_bits	declared_topology	verdict	matched_candidates	distinct_candidate_values	declared_separation
witness	direct	ok	40c00000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
witness	direct_zero_seed	ok	40c00000	zero_seed_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
witness	tiled	ok	40c00000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
witness	ksplit_contiguous	ok	40c00000	contiguous_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
witness	ksplit_strided	ok	40c00000	strided_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
witness	simdgroup	ok	40c00000	none	no-declared-topology	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	n/a
witness	opaque_mps	ok	40c00000	none	no-declared-topology	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	n/a
order_absorption	direct	ok	4b800007	strict_fold	agrees-with-declared	fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,strict_fold,strict_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	3	non-distinguishing
order_absorption	direct_zero_seed	ok	4b800007	zero_seed_fold	agrees-with-declared	fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,strict_fold,strict_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	3	non-distinguishing
order_absorption	tiled	ok	4b800007	strict_fold	agrees-with-declared	fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,strict_fold,strict_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	3	non-distinguishing
order_absorption	ksplit_contiguous	ok	4b800006	contiguous_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,strided_split,strided_split+ftz	3	non-distinguishing
order_absorption	ksplit_strided	ok	4b800006	strided_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,strided_split,strided_split+ftz	3	non-distinguishing
order_absorption	simdgroup	ok	4b800007	none	no-declared-topology	fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,strict_fold,strict_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	3	n/a
order_absorption	opaque_mps	ok	4b800006	none	no-declared-topology	contiguous_split,contiguous_split+ftz,strided_split,strided_split+ftz	3	n/a
contraction_pair	direct	ok	3fc58f9e	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_products_then_round,exact_products_then_round+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
contraction_pair	direct_zero_seed	ok	3fc58f9e	zero_seed_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_products_then_round,exact_products_then_round+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
contraction_pair	tiled	ok	3fc58f9e	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_products_then_round,exact_products_then_round+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
contraction_pair	ksplit_contiguous	ok	3fc58f9e	contiguous_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_products_then_round,exact_products_then_round+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
contraction_pair	ksplit_strided	ok	3fc58f9e	strided_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_products_then_round,exact_products_then_round+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
contraction_pair	simdgroup	ok	3fc58f9d	none	no-declared-topology	exact_dot_then_round,exact_dot_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz	2	n/a
contraction_pair	opaque_mps	ok	3fc58f9d	none	no-declared-topology	exact_dot_then_round,exact_dot_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz	2	n/a
split_topology	direct	ok	bb1d0482	strict_fold	agrees-with-declared	payload_propagating_fold,payload_propagating_fold+ftz,strict_fold,strict_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	8	non-distinguishing
