realization	topology	outcome	refuting_case	admissible_cases	declared_topology
direct	contiguous_split	refuted	order_absorption	8	strict_fold
direct	contiguous_split+ftz	refuted	order_absorption	8	strict_fold
direct	exact_dot_then_round	refuted	order_absorption	8	strict_fold
direct	exact_dot_then_round+ftz	refuted	order_absorption	8	strict_fold
direct	exact_products_then_round	refuted	order_absorption	8	strict_fold
direct	exact_products_then_round+ftz	refuted	order_absorption	8	strict_fold
direct	fma_fold	refuted	contraction_pair	8	strict_fold
direct	fma_fold+ftz	refuted	contraction_pair	8	strict_fold
direct	fma_zero_seed_fold	refuted	contraction_pair	8	strict_fold
direct	fma_zero_seed_fold+ftz	refuted	contraction_pair	8	strict_fold
direct	payload_propagating_fold	refuted	nan_payload	8	strict_fold
direct	payload_propagating_fold+ftz	refuted	nan_payload	8	strict_fold
direct	reversed_fma_fold	refuted	order_absorption	8	strict_fold
direct	reversed_fma_fold+ftz	refuted	order_absorption	8	strict_fold
direct	reversed_fold	refuted	order_absorption	8	strict_fold
direct	reversed_fold+ftz	refuted	order_absorption	8	strict_fold
direct	strict_fold	refuted	subnormal_product	8	strict_fold
direct	strict_fold+ftz	consistent		8	strict_fold
direct	strided_split	refuted	order_absorption	8	strict_fold
direct	strided_split+ftz	refuted	order_absorption	8	strict_fold
direct	zero_seed_fold	refuted	negative_zero_seed	8	strict_fold
direct	zero_seed_fold+ftz	refuted	negative_zero_seed	8	strict_fold
direct_zero_seed	contiguous_split	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	contiguous_split+ftz	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	exact_dot_then_round	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	exact_dot_then_round+ftz	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	exact_products_then_round	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	exact_products_then_round+ftz	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	fma_fold	refuted	contraction_pair	8	zero_seed_fold
direct_zero_seed	fma_fold+ftz	refuted	contraction_pair	8	zero_seed_fold
direct_zero_seed	fma_zero_seed_fold	refuted	contraction_pair	8	zero_seed_fold
direct_zero_seed	fma_zero_seed_fold+ftz	refuted	contraction_pair	8	zero_seed_fold
direct_zero_seed	payload_propagating_fold	refuted	negative_zero_seed	8	zero_seed_fold
direct_zero_seed	payload_propagating_fold+ftz	refuted	negative_zero_seed	8	zero_seed_fold
direct_zero_seed	reversed_fma_fold	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	reversed_fma_fold+ftz	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	reversed_fold	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	reversed_fold+ftz	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	strict_fold	refuted	negative_zero_seed	8	zero_seed_fold
direct_zero_seed	strict_fold+ftz	refuted	negative_zero_seed	8	zero_seed_fold
direct_zero_seed	strided_split	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	strided_split+ftz	refuted	order_absorption	8	zero_seed_fold
direct_zero_seed	zero_seed_fold	refuted	subnormal_product	8	zero_seed_fold
direct_zero_seed	zero_seed_fold+ftz	consistent		8	zero_seed_fold
tiled	contiguous_split	refuted	order_absorption	8	strict_fold
tiled	contiguous_split+ftz	refuted	order_absorption	8	strict_fold
tiled	exact_dot_then_round	refuted	order_absorption	8	strict_fold
tiled	exact_dot_then_round+ftz	refuted	order_absorption	8	strict_fold
tiled	exact_products_then_round	refuted	order_absorption	8	strict_fold
tiled	exact_products_then_round+ftz	refuted	order_absorption	8	strict_fold
tiled	fma_fold	refuted	contraction_pair	8	strict_fold
tiled	fma_fold+ftz	refuted	contraction_pair	8	strict_fold
tiled	fma_zero_seed_fold	refuted	contraction_pair	8	strict_fold
tiled	fma_zero_seed_fold+ftz	refuted	contraction_pair	8	strict_fold
tiled	payload_propagating_fold	refuted	nan_payload	8	strict_fold
tiled	payload_propagating_fold+ftz	refuted	nan_payload	8	strict_fold
tiled	reversed_fma_fold	refuted	order_absorption	8	strict_fold
