case	candidate	bits	case_description
witness	contiguous_split	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	contiguous_split+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	exact_dot_then_round	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	exact_dot_then_round+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	exact_products_then_round	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	exact_products_then_round+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	fma_fold	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	fma_fold+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	fma_zero_seed_fold	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	fma_zero_seed_fold+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	payload_propagating_fold	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	payload_propagating_fold+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	reversed_fma_fold	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	reversed_fma_fold+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	reversed_fold	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	reversed_fold+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	strict_fold	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	strict_fold+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	strided_split	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	strided_split+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	zero_seed_fold	40c00000	every topology agrees; 2 * 3 = 6 exactly
witness	zero_seed_fold+ftz	40c00000	every topology agrees; 2 * 3 = 6 exactly
order_absorption	contiguous_split	4b800006	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	contiguous_split+ftz	4b800006	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	exact_dot_then_round	4b800005	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	exact_dot_then_round+ftz	4b800005	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	exact_products_then_round	4b800005	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	exact_products_then_round+ftz	4b800005	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	fma_fold	4b800007	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	fma_fold+ftz	4b800007	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	fma_zero_seed_fold	4b800007	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	fma_zero_seed_fold+ftz	4b800007	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	payload_propagating_fold	4b800007	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	payload_propagating_fold+ftz	4b800007	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	reversed_fma_fold	4b800005	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	reversed_fma_fold+ftz	4b800005	a 2^24 leading contributor absorbs 1.5 increments under a left fold
order_absorption	reversed_fold	4b800005	a 2^24 leading contributor absorbs 1.5 increments under a left fold
