key	value
environment.date_utc.primary	2026-08-11T06:23:36Z
environment.date_utc.repeat	2026-08-11T06:24:34Z
environment.os.product	macOS
environment.os.version	27.0
environment.os.build	26A5388g
environment.architecture	arm64
environment.device	Apple M4 Max
environment.apple_gpu_family	apple9
environment.cpu.logical_cores	14
environment.developer_dir	/Applications/Xcode.app/Contents/Developer
environment.default_developer_dir	/Applications/Xcode-beta.app/Contents/Developer
environment.xcode	Xcode 26.6 Build version 17F113
environment.sdk.macosx.version	26.5
environment.sdk.macosx.build	25F70
environment.offline_compiler	Apple metal version 32023.883 (metalfe-32023.883)
environment.offline_linker	AIR-LLD 32023.883 (metalfe-32023.883) (compatible with legacy metallib linker)
environment.rustc	rustc 1.99.0-nightly (eff8269f7 2026-07-18)
environment.toolchain	nightly-2026-07-19-aarch64-apple-darwin
environment.repository_base	946e032863a707f2cc50f44572ef78dbb3909bb3
host.occupancy	coordinator-reserved quiet window; primary then repeat ran sequentially; no other Cargo or full gate ran during either timed submission
host.load.primary.before	2.97 4.33 4.66
host.load.primary.after	3.03 4.15 4.57
host.load.repeat.before	2.95 4.12 4.56
host.load.repeat.after	2.86 3.96 4.48
matrix.rows	4,16384
matrix.contributors	514,780,1042
matrix.shapes	6
matrix.variants_per_run	52
measurement.metric	wall-clock commit-to-completed difference quotient
measurement.warmup	8
measurement.repetitions	30
measurement.batch	64
measurement.harness_relation	timed executable predates the post-run production-label and documentation/lint-only replay-source repairs; kernel construction, source/ABI anchors, input, oracle, preparation, warm-up, timing, and numeric fields are unchanged
measurement.source_threadgroup_bytes	4 * participants bytes
measurement.result_threadgroup_bytes	prepared entry static allocation, source request rounded up to 16 bytes
timed.executable.sha256	c9c3e5718a3a7aa3531179d735783f01c254b4907dda7f1a345ae96e670b571d
timed.executable.size_bytes	7807056
timed.executable.mtime_utc	2026-08-11T06:23:37Z
timed.executable.retention	digest and observed metadata only; target/release build product is not checked in
hash.main	accb058dcc484f2129ee7e455f86621aab2c9b8aa8fd63cef1e657b67cee4231
hash.regions	1a7d4f492fef25d0ea719c8e47bfccac36e9b724e7bf79f0e2873c1b5d61ab96
hash.buffer	a3f8303eb323c147c21b2ef2547d89e8e1cb0b0f205be66bb33b96b9c08b03fe
hash.analysis	b7b6ea71bc1774bd2dad205087c749723156db10a906e170ec2bd2868778f66c
hash.sweep	27b09ad1f9797cbc65a8c14ec3d8b982b2a3c2bcda1fd04de2cc387759b40d75
hash.repeat	b170c97cfac68b98a998f8854087b406361ede04f50702aece72de0e25b22345
